mofd_label,totfoodinsec,weighted_count,percentage
2024m03,0,112559068.95500183,39.47631316694231
2024m03,1,46814015.19152832,16.4184435910852
2024m03,2,32511053.82446289,11.402160253074685
2024m03,3,27501806.309387207,9.645334921524466
2024m03,4,20815637.168823242,7.300385648840208
2024m03,5,15489783.85180664,5.432521465388261
2024m03,6,11822211.686706543,4.146243703000832
2024m03,7,10407370.239685059,3.650035582564811
2024m03,8,7209704.358520508,2.528561667579226
2024m04,0,131922390.07067871,46.403234227801676
2024m04,1,49102371.65484619,17.27158560286593
2024m04,2,25343638.549987793,8.914535244470327
2024m04,3,23087527.06298828,8.12095600656247
2024m04,4,17035764.823242188,5.99227003785427
2024m04,5,14923279.349121094,5.24921074211265
2024m04,6,10983811.889343262,3.863516993152109
2024m04,7,8026535.234741211,2.823305386870659
2024m04,8,3870360.892578125,1.3613857583099072
2024m05,0,143282255.48342896,50.40397682603993
2024m05,1,39414512.94104004,13.865277247255472
2024m05,2,29372580.456054688,10.33271607592189
2024m05,3,21028915.5279541,7.397573184282651
2024m05,4,14693823.046142578,5.169007940340232
2024m05,5,15010093.408081055,5.2802658483074465
2024m05,6,11702844.141235352,4.116838354500946
2024m05,7,4659092.357299805,1.6389802241414237
2024m05,8,5103641.86328125,1.7953642992100054
2024m06,0,164971433.4243164,57.783542438505634
2024m06,1,35295071.69030762,12.362590483416232
2024m06,2,17189046.864379883,6.020703089914203
2024m06,3,23841333.23046875,8.35075904911356
2024m06,4,13222311.60961914,4.631298814410112
2024m06,5,10093825.814208984,3.535503087992552
2024m06,6,9068171.88671875,3.1762535135894714
2024m06,7,4791626.702880859,1.6783339950938554
2024m06,8,7026174.619873047,2.4610155279643844
2024m07,0,172416042.01428223,60.242759768670005
2024m07,1,34429233.26080322,12.029692852932216
2024m07,2,19093805.31375122,6.671441434033073
2024m07,3,17687606.53076172,6.180110729065288
2024m07,4,14562687.521728516,5.088253248993083
2024m07,5,12791211.06274414,4.469293264135005
2024m07,6,6118010.541503906,2.137653985140664
2024m07,7,5208382.683837891,1.8198268742287658
2024m07,8,3895118.5115966797,1.3609678428018932
2024m08,0,185821373.79919434,63.741866624871044
2024m08,1,38094160.11425781,13.067349700113088
2024m08,2,18330790.510253906,6.287967739899049
2024m08,3,15886310.7890625,5.449443639201328
2024m08,4,9442858.145996094,3.239161309560126
2024m08,5,9786503.1728515625,3.3570410508421626
2024m08,6,5573338.4169921875,1.911809103376278
2024m08,7,4685459.360595703,1.607242049356971
2024m08,8,3900906.6362304688,1.3381187827799548
2024m09,0,180919292.2206421,62.243220821284496
2024m09,1,42658892.45770264,14.676305830325722
2024m09,2,18582828.53125,6.393210395406855
2024m09,3,12896380.130859375,4.436852623220244
2024m09,4,7359415.28515625,2.5319229645828374
2024m09,5,11368087.051269531,3.911060804863252
2024m09,6,6928361.9052734375,2.3836239613063603
2024m09,7,6508070.0458984375,2.239027336527604
2024m09,8,3443727.671875,1.1847752624826338
2024m10,0,185612509.2015381,64.0964666411388
2024m10,1,41213611.579711914,14.232051983692307
2024m10,2,14443318.534179688,4.987625503236927
2024m10,3,13425682.072021484,4.636211140971578
2024m10,4,10688064.62915039,3.6908459505648272
2024m10,5,12059842.784179688,4.164553962654724
2024m10,6,5208794.2431640625,1.7987220143929532
2024m10,7,3337768.5942382813,1.1526118270624723
2024m10,8,3593467.9721679688,1.240910976285408
2024m11,0,182651654.48498535,62.99122483627657
2024m11,1,40171138.84082031,13.853853367966101
2024m11,2,14650443.955566406,5.052510538480856
2024m11,3,17085946.135253906,5.892444158696424
2024m11,4,9417838.46069336,3.247937619957529
2024m11,5,13478974.252685547,4.648504827987167
2024m11,6,4505131.810058594,1.5536884763767118
2024m11,7,2792884.857421875,0.9631844753432302
2024m11,8,5209636.837402344,1.7966516989154124
2024m12,0,194724393.92016602,66.63184914677738
2024m12,1,36422484.77807617,12.463243368874254
2024m12,2,17148571.307128906,5.867991130519751
2024m12,3,8609412.183105469,2.9460153516374694
2024m12,4,11366693.244384766,3.889516738555391
2024m12,5,10163987.664550781,3.477968420698816
2024m12,6,6752876.7333984375,2.3107359830379695
2024m12,7,4455393.822509766,1.524570820811835
2024m12,8,2595402.8979492188,0.8881090390871238
2025m01,0,182760090.14068604,63.29931415332225
2025m01,1,37403630.06665039,12.9548203234141
2025m01,2,16554951.899658203,5.733839922506781
2025m01,3,13384825.716308594,4.635860527601421
2025m01,4,7798569.05480957,2.701049622851293
2025m01,5,11145587.469482422,3.8602959875485396
2025m01,6,7508432.841308594,2.600560378665014
2025m01,7,6757036.104736328,2.340312651464531
2025m01,8,5410526.5361328125,1.8739464326260686
2025m02,0,176744887.46173096,61.32242572627059
2025m02,1,43952430.657714844,15.249491531008841
2025m02,2,24095800.534179688,8.36014529072135
2025m02,3,11832906.716552734,4.105479675664204
2025m02,4,10344410.912109375,3.589039428239186
2025m02,5,7678605.927734375,2.6641265184360474
2025m02,6,6064911.7490234375,2.104248137567222
2025m02,7,4246655.023925781,1.4733958703397745
2025m02,8,3261661.0405273438,1.1316478217527823
2025m03,0,187953824.90600586,65.68190433571824
2025m03,1,44077055.36175537,15.403064742730141
2025m03,2,14648497.616699219,5.119029738305105
2025m03,3,14892294.91796875,5.204226573364458
2025m03,4,8369588.404296875,2.9248168010163114
2025m03,5,6055847.724609375,2.116262391139878
2025m03,6,3230609.7658691406,1.1289613376794527
2025m03,7,4053156.3095703125,1.4164065302530766
2025m03,8,2876822.1655273438,1.0053275497933372
2025m04,0,187654123.6533203,65.4570928877466
2025m04,1,35918771.2298584,12.529105670761318
2025m04,2,25340407.22998047,8.83918433324984
2025m04,3,12703785.840332031,4.431306243570206
2025m04,4,6542087.93359375,2.281996522177014
2025m04,5,10283985.135742188,3.5872367586768505
2025m04,6,4532407.2294921875,1.580984181163316
2025m04,7,1513772.19140625,0.5280306396401079
2025m04,8,2193302.146484375,0.765062763014755
2025m05,0,193637421.4177246,66.54263432864529
2025m05,1,40164711.673706055,13.802423634083002
2025m05,2,17676420.58569336,6.07442292229091
2025m05,3,12492913.384277344,4.293133842327192
2025m05,4,8132877.2021484375,2.7948268973013812
2025m05,5,8377616.7646484375,2.8789305539910557
2025m05,6,3103359.4228515625,1.0664555939302789
2025m05,7,2565066.7138671875,0.8814737106069535
2025m05,8,4847141.519287109,1.6656985168239409
2025m06,0,197093486.859375,67.37925303805595
2025m06,1,38862155.52294922,13.285588744255994
2025m06,2,24984923.06188965,8.541456544043816
2025m06,3,12066789.658203125,4.125206198808447
2025m06,4,5660411.9228515625,1.9350935098203768
2025m06,5,3244095.8901367188,1.1090410005136204
2025m06,6,2605612.0463867188,0.8907660835984981
2025m06,7,5055620.079589844,1.728336689532557
2025m06,8,2940517.0463867188,1.0052581913707381
2025m07,0,188207786.96972656,64.57919226812751
2025m07,1,38966807.36328125,13.370567633278638
2025m07,2,18687537.167236328,6.412200447024295
2025m07,3,14906443.877929688,5.114804869267797
2025m07,4,12526360.611328125,4.298133798624271
2025m07,5,8068103.282714844,2.768384887376425
2025m07,6,3727209.1228027344,1.2789064599315094
2025m07,7,5079901.459472656,1.743051859523721
2025m07,8,1267045.873046875,0.43475777684582856
2025m08,0,193115330.19677734,66.46121813563664
2025m08,1,39853509.752075195,13.715704508826162
2025m08,2,15648781.56665039,5.385574952533919
2025m08,3,17301818.911132813,5.954472695794663
2025m08,4,7909306.236328125,2.722011383241945
2025m08,5,7463585.0947265625,2.568615120037664
2025m08,6,4024759.544921875,1.3851330279474738
2025m08,7,3321060.1640625,1.14295278257
2025m08,8,1930296.7412109375,0.664317393411523
2025m09,0,181342243.52355957,62.36176031093704
2025m09,1,43842435.209228516,15.076969286588144
2025m09,2,20638495.06665039,7.097369358164454
2025m09,3,16671240.435180664,5.733070683939507
2025m09,4,12916142.768554688,4.44173064049362
2025m09,5,6215866.493408203,2.1375735121328567
2025m09,6,3931148.6640625,1.351882197834815
2025m09,7,3412209.7397460938,1.1734243593001836
2025m09,8,1820988.94921875,0.6262196506093811
2025m10,0,194314321.60888672,66.59469324731268
2025m10,1,37152845.951049805,12.732887410917792
2025m10,2,16899594.655273438,5.7917672395609445
2025m10,3,16494346.172851563,5.652881962591275
2025m10,4,6193154.219238281,2.122495151405307
2025m10,5,9092559.081298828,3.1161685759371744
2025m10,6,2588870.5283203125,0.887248234010842
2025m10,7,3182102.130859375,1.0905583980203577
2025m10,8,5868701.142578125,2.011299780243629
