date,quint,vw5,n,percent,quintile_label
2024-03-01,1,1,24620855.5680542,0.516976667015351,Poorest
2024-03-01,2,1,27500146.767089844,0.495587169834272,2
2024-03-01,3,1,27523166.568847656,0.4936502816597332,3
2024-03-01,4,1,36128180.107055664,0.6594775936520081,4
2024-03-01,5,1,31366976.423583984,0.5686195053110964,Richest
2024-04-01,1,1,34450817.6418457,0.6211281986795053,Poorest
2024-04-01,2,1,42281212.228027344,0.7642078024337212,2
2024-04-01,3,1,39336469.44458008,0.7132567560478694,3
2024-04-01,4,1,42320712.814453125,0.7654654079202384,4
2024-04-01,5,1,39878450.596191406,0.7218757905065729,Richest
2024-05-01,1,1,35071443.318115234,0.6643766826357159,Poorest
2024-05-01,2,1,37964422.341430664,0.6858060220433515,2
2024-05-01,3,1,36979531.229003906,0.6640468962832697,3
2024-05-01,4,1,39765825.341552734,0.7236317864427482,4
2024-05-01,5,1,38471149.048828125,0.6974210868821092,Richest
2024-06-01,1,1,38497428.533691406,0.6996708567849623,Poorest
2024-06-01,2,1,35128799.31640625,0.6351741767660242,2
2024-06-01,3,1,36375855.23828125,0.6601283167653805,3
2024-06-01,4,1,30967352.095703125,0.5592871358637992,4
2024-06-01,5,1,37930873.86328125,0.6877543768095323,Richest
2024-07-01,1,1,33952508.61242676,0.6571420038223609,Poorest
2024-07-01,2,1,30470215.001953125,0.5474366726610457,2
2024-07-01,3,1,37644607.94506836,0.681362323890051,3
2024-07-01,4,1,33743085.21191406,0.6076147904893514,4
2024-07-01,5,1,37083195.42089844,0.6759209583301086,Richest
2024-08-01,1,1,31387025.87915039,0.6044502301834472,Poorest
2024-08-01,2,1,37290731.26953125,0.663406411059761,2
2024-08-01,3,1,34365920.56665039,0.6305287310890102,3
2024-08-01,4,1,34682964.10058594,0.6251118436868596,4
2024-08-01,5,1,33214671.002929688,0.60270697384466565,Richest
2024-09-01,1,1,32441098.424072266,0.5871100285548277,Poorest
2024-09-01,2,1,41808081.291015625,0.7601120485090019,2
2024-09-01,3,1,34186740.111816406,0.6166380764280966,3
2024-09-01,4,1,36517743.3828125,0.6592544481028106,4
2024-09-01,5,1,33129706.23388672,0.6008091228344696,Richest
2024-10-01,1,1,34828327.353027344,0.6574760923548065,Poorest
2024-10-01,2,1,35930371.39746094,0.6467478754583926,2
2024-10-01,3,1,33385702.05078125,0.6037248515386227,3
2024-10-01,4,1,34148189.11035156,0.6185651806307766,4
2024-10-01,5,1,37247752.364746094,0.6749972631032123,Richest
2024-11-01,1,1,32637019.80078125,0.5938133298773124,Poorest
2024-11-01,2,1,40525504.83154297,0.7312180683571777,2
2024-11-01,3,1,38076022.978515625,0.6800258969524725,3
2024-11-01,4,1,28298672.64111328,0.5181442192837608,4
2024-11-01,5,1,32829231.095214844,0.5950268186757873,Richest
2024-12-01,1,1,37698215.34667969,0.6975366800101649,Poorest
2024-12-01,2,1,36624785.76611328,0.6624032623690961,2
2024-12-01,3,1,40862582.9140625,0.7352618051681468,3
2024-12-01,4,1,40207066.15893555,0.7267398970025932,4
2024-12-01,5,1,36270312.529785156,0.6588907494783506,Richest
2025-01-01,1,1,38767467.07128906,0.7026506081027529,Poorest
2025-01-01,2,1,42208531.545410156,0.7627842759395494,2
2025-01-01,3,1,39973263.34716797,0.7182283913990642,3
2025-01-01,4,1,38822743.60864258,0.7069234142520502,4
2025-01-01,5,1,37293382.525390625,0.674514795528288,Richest
2025-02-01,1,1,40780911.30517578,0.7296221892377798,Poorest
2025-02-01,2,1,44032897.97192383,0.7972747311295832,2
2025-02-01,3,1,36246606.485839844,0.6608276326322832,3
2025-02-01,4,1,37820867.625,0.6818764517504589,4
2025-02-01,5,1,36549395.998046875,0.66360912016886,Richest
2025-03-01,1,1,36749157.32910156,0.6682426286767322,Poorest
2025-03-01,2,1,36097117.75390625,0.6552254776210682,2
2025-03-01,3,1,34065943.814941406,0.617711469803184,3
2025-03-01,4,1,37487956.62792969,0.6798935649896722,4
2025-03-01,5,1,37065137.12109375,0.6706134700025597,Richest
2025-04-01,1,1,36530007.041015625,0.6659916338675618,Poorest
2025-04-01,2,1,33383913.360839844,0.6055481054786409,2
2025-04-01,3,1,37946327.99121094,0.6635129150659028,3
2025-04-01,4,1,33381484.594726563,0.6215800223075099,4
2025-04-01,5,1,34686512.236816406,0.6296682599385335,Richest
2025-05-01,1,1,34441833.93457031,0.6235952269732778,Poorest
2025-05-01,2,1,29280353.751953125,0.527021946792599,2
2025-05-01,3,1,30932179.331054688,0.5456174801710723,3
2025-05-01,4,1,26274398.11767578,0.4888619222545936,4
2025-05-01,5,1,27570586.802246094,0.4990215085881889,Richest
2025-06-01,1,1,34082627.8828125,0.620944298521142,Poorest
2025-06-01,2,1,32564618.776367188,0.5889414658255473,2
2025-06-01,3,1,30471103.30810547,0.5488007671828208,3
2025-06-01,4,1,29044729.680664063,0.5250478408387242,4
2025-06-01,5,1,28633469.462890625,0.5195221819396959,Richest
2025-07-01,1,1,37419704.46435547,0.6796548033297697,Poorest
2025-07-01,2,1,35376236.861328125,0.6298768754760342,2
2025-07-01,3,1,33261180.521484375,0.614844256388445,3
2025-07-01,4,1,29264689.1953125,0.5291632406487677,4
2025-07-01,5,1,31026577.717285156,0.5641890647906117,Richest
2025-08-01,1,1,32159988.024414063,0.5927000176036875,Poorest
2025-08-01,2,1,32004314.481933594,0.5803211537395987,2
2025-08-01,3,1,35500968.443359375,0.6300156876595405,3
2025-08-01,4,1,30672260.5390625,0.567686350291024,4
2025-08-01,5,1,29600911.913085938,0.5378256255389188,Richest
2025-09-01,1,1,37927005.712890625,0.6844269097362268,Poorest
2025-09-01,2,1,28488110.375976563,0.5159891861914219,2
2025-09-01,3,1,35860612.79589844,0.6508432834228419,3
2025-09-01,4,1,37618251.173339844,0.6721018399315234,4
2025-09-01,5,1,32129623.50439453,0.587786728252398,Richest
2025-10-01,1,1,35274901.67578125,0.6286778766520014,Poorest
2025-10-01,2,1,34606698.642578125,0.6299342591116922,2
2025-10-01,3,1,39032809.42578125,0.7063679718950817,3
2025-10-01,4,1,34378905.130859375,0.61243260707603,4
2025-10-01,5,1,29478730.651367188,0.5450412990607325,Richest
